trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts,fundamental_value,market_id,treatment,market_design,group_composition,gamified,hybrid,repetition
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,15,146,2026-03-12 21:46:02.129108+00:00,trade,trade,bid,B,,,60.0,1.0,,,,,,ded0269f-b470-4c54-853c-8780d3a33f27,,00b947de-cf8a-4ea4-95c3-f6bd6168ecb6,7a6f61c7-9010-45cf-ae0d-e27381aa75fb,8ec5d82c-c27e-40ec-8f69-fe61237f5412,817c3405-e3a7-4f12-b0aa-18682cc45403,1773351962.146855,8,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4b4a8da8-869c-4728-b134-73a625591381,0,2,1,5,2026-03-12 21:47:58.152907+00:00,trade,trade,bid,B,,,70.0,1.0,,,,,,b33bae7d-4a8c-4478-8d2f-fb1f96f0122d,,407bad07-579d-422e-972d-ce439a1d14d6,5a8417a2-933a-4d50-aa09-903769941713,85b3414c-8bbe-4c98-a006-c72e5880dae0,0b1fd85d-6b54-4fb2-ac91-6faa29df8fe8,1773352078.170448,120,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,1,8,2026-03-12 21:48:02.304906+00:00,trade,trade,bid,B,,,80.0,1.0,,,,,,459dbd73-47a1-4876-bb10-1bd6bec2eebe,,2162eacd-b373-4438-9243-596085bb7880,912a68b2-8fa5-4ce7-b48e-ef40774c897a,85b3414c-8bbe-4c98-a006-c72e5880dae0,bf08b76d-0785-4351-9789-c7344cb9375a,1773352082.322896,120,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,1,13,2026-03-12 21:48:20.964188+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,17819290-d040-49a6-8fa7-7e8b309dcea6,,b8373590-3023-44c9-a756-684030c74ad0,9f54ae37-b0ea-4102-8bce-4cc3942aa8d2,85b3414c-8bbe-4c98-a006-c72e5880dae0,c3619141-e85c-4152-af1b-0962388180c5,1773352100.982339,120,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,2,18,2026-03-12 21:49:09.235169+00:00,trade,trade,ask,S,,,40.0,1.0,,,,,,3e688fbf-5ebe-4301-b147-3df3ac34703f,,a3640292-0d61-46b3-8848-261ddd1638ef,ce0a04d7-b417-49b5-89b2-646b37e189ef,bf08b76d-0785-4351-9789-c7344cb9375a,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352149.253673,112,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,2,24,2026-03-12 21:49:34.436855+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,5ac12d92-3c17-4013-add5-6510c4bb6148,,9de84d6d-d503-4468-bec6-4245f9aaf7f5,1b0ad882-aae7-48d0-aa4d-095cdd17b0de,8bb506ed-8a42-41de-8b75-4b5acfac9c22,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352174.453751,112,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,3,27,2026-03-12 21:50:14.641406+00:00,trade,trade,ask,S,,,100.0,1.0,,,,,,2fdaa9ba-ad08-49db-8b67-926012f704f3,,aed8f118-80cf-48ff-84e4-845e4d0a6d11,f9017127-8f28-4857-ab07-0c4b820dd032,ef68c032-ed2a-4525-a107-9eafdcf6c2af,85b3414c-8bbe-4c98-a006-c72e5880dae0,1773352214.698663,104,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,3,31,2026-03-12 21:50:29.242257+00:00,trade,trade,ask,S,,,95.0,1.0,,,,,,51f5d07a-f636-44b1-bca4-272a9b54f9d5,,73a25253-dab1-46c8-8e80-22ee84f10e98,61a91f92-157d-48d7-8963-e1a42faac461,bf08b76d-0785-4351-9789-c7344cb9375a,c3619141-e85c-4152-af1b-0962388180c5,1773352229.259554,104,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,3,35,2026-03-12 21:50:44.204789+00:00,trade,trade,ask,S,,,95.0,1.0,,,,,,ccaa6f66-5772-4c7b-9787-9ed437863a94,,373693a4-7df9-4cdf-903a-cf5be0e16cef,6c0cd972-14e1-4ca4-a7d0-2d45246b6396,bf08b76d-0785-4351-9789-c7344cb9375a,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352244.222209,104,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,3,39,2026-03-12 21:50:54.932783+00:00,trade,trade,ask,S,,,97.0,1.0,,,,,,b7844757-bc51-4e6e-b16a-e11c88ce3b54,,093724f7-389c-4f40-815b-7cc755dda3cd,87f593fe-4374-420a-9fb2-9f93559ba9ce,bf08b76d-0785-4351-9789-c7344cb9375a,c3619141-e85c-4152-af1b-0962388180c5,1773352254.950578,104,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,4,43,2026-03-12 21:52:01.166395+00:00,trade,trade,ask,S,,,98.0,1.0,,,,,,fd380355-2c0b-461b-a8d5-db7d059c5d90,,a0d64fc7-bcc5-47b5-9d5d-09771fdfc092,31657edb-ddbe-4d41-a514-99b18c18dd03,bf08b76d-0785-4351-9789-c7344cb9375a,c3619141-e85c-4152-af1b-0962388180c5,1773352321.183479,96,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,4,51,2026-03-12 21:52:15.386923+00:00,trade,trade,ask,S,,,121.25,1.0,,,,,,ee3ee90c-503c-43ac-8f19-3668902e9c63,,322edb31-73da-4264-8ffd-9d1ce1909320,fa5640e8-0fef-44c2-b0ba-9e6f6bbff2ba,bf08b76d-0785-4351-9789-c7344cb9375a,c3619141-e85c-4152-af1b-0962388180c5,1773352335.404452,96,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,4,54,2026-03-12 21:52:21.703031+00:00,trade,trade,ask,S,,,117.5,1.0,,,,,,132d40fa-4ad4-453a-9374-6c77eee3a147,,367fdf89-7405-467d-907c-9e864e5049bd,7eb520ec-f472-478d-bab0-372ac3644a1b,bf08b76d-0785-4351-9789-c7344cb9375a,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352341.719838,96,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,4,57,2026-03-12 21:52:26.368378+00:00,trade,trade,ask,S,,,117.5,1.0,,,,,,410bff5c-f9b7-4ec9-b56b-c88eca7fb4ed,,c6562caf-4043-429e-84fc-b2331be5b28c,20753fc4-e232-49bd-9b6a-219c3142b8fe,bf08b76d-0785-4351-9789-c7344cb9375a,8bb506ed-8a42-41de-8b75-4b5acfac9c22,1773352346.385775,96,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,4,60,2026-03-12 21:52:30.596712+00:00,trade,trade,ask,S,,,110.0,1.0,,,,,,4d851317-0232-4644-95f5-20b6b3538611,,acbaaced-953c-4860-ac09-378f4ed257f7,a31a538f-136d-4e06-ae18-734ba6aa5de6,bf08b76d-0785-4351-9789-c7344cb9375a,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352350.613798,96,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,5,63,2026-03-12 21:53:27.166137+00:00,trade,trade,ask,S,,,107.5,1.0,,,,,,3fb9b254-3fe4-47a3-a98f-d3a4d2910be5,,24916237-3217-4de3-9449-722a5b58de6a,b670cfe5-6c09-4058-a524-7d56c8eb6ed6,bf08b76d-0785-4351-9789-c7344cb9375a,c3619141-e85c-4152-af1b-0962388180c5,1773352407.182814,88,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,5,73,2026-03-12 21:53:59.715452+00:00,trade,trade,ask,S,,,119.0,1.0,,,,,,c84d0f0b-53fe-4704-a00f-6de141ebbd3d,,1b785d39-0883-4d8a-b512-92be92662fe0,4fb1c31e-1835-4fea-9d76-9fb53ec5dc80,bf08b76d-0785-4351-9789-c7344cb9375a,8bb506ed-8a42-41de-8b75-4b5acfac9c22,1773352439.733878,88,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,6,80,2026-03-12 21:54:36.029308+00:00,trade,trade,bid,B,,,119.0,1.0,,,,,,66198b70-4a96-4c47-b745-41b8e14316f5,,f041c18c-fb85-4a37-9ab6-42c6379ecd8d,d366f44e-881b-4974-a490-182aa55d0147,c3619141-e85c-4152-af1b-0962388180c5,bf08b76d-0785-4351-9789-c7344cb9375a,1773352476.04652,80,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
4b4a8da8-869c-4728-b134-73a625591381,0,2,6,83,2026-03-12 21:54:38.808890+00:00,trade,trade,ask,S,,,118.0,1.0,,,,,,03a07886-4fed-4e63-bfca-3df02ede9c0d,,75e34763-aa62-4f4f-b4e0-08092797d124,ee2a3cd4-1997-4c43-97ec-e0b38272b2cc,bf08b76d-0785-4351-9789-c7344cb9375a,ef68c032-ed2a-4525-a107-9eafdcf6c2af,1773352478.826543,80,4b4a8da8-869c-4728-b134-73a625591381,gh,gamified,human_only,1,0,2
