market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
562efb1b-a346-43e9-8059-5c07029ce57e,4,0.3281372315119596,0.005552567829421602,3.84042376277442,1.0,0.04477463846612021,0.1419363661604819,13,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7731601731601732
562efb1b-a346-43e9-8059-5c07029ce57e,5,0.8207128126184016,0.0137628199675482,2.0518139465681147,1.0,0.010298334209716969,0.13538500086699748,17,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.638888888888889
562efb1b-a346-43e9-8059-5c07029ce57e,6,2.8598226395095057,0.04358788636101911,6.818722386138052,1.0,0.13321166421042333,0.05323746065346986,26,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6397058823529411
562efb1b-a346-43e9-8059-5c07029ce57e,7,0.41447008602668073,0.006188219429590858,4.461376397137743,1.0,0.04847666216419026,0.055789213890807696,10,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7523809523809524
562efb1b-a346-43e9-8059-5c07029ce57e,8,3.6809595464379967,0.056289620169488894,6.619084397080213,1.0,0.04630196638769826,0.027296046450375543,18,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.8678571428571429
562efb1b-a346-43e9-8059-5c07029ce57e,9,0.9222081842441607,0.013873746706497516,3.5727169904469482,1.0,0.043577921944282984,0.03638941217694636,22,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6333333333333333
562efb1b-a346-43e9-8059-5c07029ce57e,10,0.2842928752389082,0.0042461860209167075,3.5320494910581144,1.0,0.05840412264395155,0.0172028879616462,13,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7428571428571429
562efb1b-a346-43e9-8059-5c07029ce57e,11,0.12191270859833833,0.0018553930785990564,2.724907565011066,1.0,0.005278457772337913,0.014803264832281846,8,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.8666666666666666
562efb1b-a346-43e9-8059-5c07029ce57e,12,0.11574587087275917,0.00176837578022091,4.005614170347792,1.0,0.023338485316846843,0.014721894112560984,16,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7555555555555555
562efb1b-a346-43e9-8059-5c07029ce57e,13,0.6689712011229938,0.010356339709700877,2.7029139519505754,1.0,0.022784849668098243,0.03363775212410045,25,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7142094017094017
