market_uuid,trading_day,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,avg_overconfidence,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,6,4880.0,65.45663777319636,0.0069736168032786885,0.0,0.0,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,3.0,93.0,13.0,13.0,84.0,107.0,107.0,84.0,80,111.0,110.0,80.0,-0.2432432432432432,0.1625,0,0,0.1625,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,7,4820.0,85.97840260371049,0.00931664937759336,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,3.0,79.0,7.0,7.0,80.0,80.0,80.0,77.0,72,84.0,111.0,62.0,-0.04761904761904767,0.09722222222222222,0,0,0.09722222222222222,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,8,4760.0,106.7747963840584,0.01173844537815126,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,5.0,63.4,-0.6,1.8,62.0,66.0,66.0,62.0,64,80.0,84.0,58.0,-0.22499999999999998,0.028125,0,0,-0.009375000000000022,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,9,4700.0,128.08813929701458,0.014341755319148936,0.0,0.0,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,4.0,56.25,0.25,1.75,58.0,58.0,58.0,54.0,56,62.0,80.0,44.0,-0.06451612903225812,0.03125,0,0,0.004464285714285714,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,10,4886.0,75.50212863602852,0.007841281211625051,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,5.0,50.2,2.2,3.8,44.0,54.0,55.0,44.0,48,58.0,62.0,50.0,-0.24137931034482762,0.07916666666666666,0,0,0.04583333333333339,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,11,4881.0,70.1182674384602,0.007324318787133784,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,4.0,44.0,4.0,5.0,50.0,44.0,50.0,38.0,40,44.0,58.0,45.0,0.13636363636363646,0.125,0,0,0.1,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,12,4885.0,66.26354309012719,0.006844933469805527,23.375,35.49220236293359,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,5.0,47.8,15.8,15.8,45.0,55.0,55.0,45.0,32,50.0,44.0,22.0,-0.09999999999999998,0.49375,0,0,0.4937499999999999,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,13,4761.0,108.7263931684877,0.012110113421550094,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,4.0,23.25,-0.75,1.25,22.0,25.0,25.0,22.0,24,45.0,50.0,22.0,-0.5111111111111111,0.052083333333333336,0,0,-0.03125,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,14,4763.0,115.7472616152476,0.012833298341381482,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,3.0,26.0,10.0,10.0,22.0,27.0,29.0,22.0,16,22.0,45.0,8.0,0.0,0.625,0,0,0.625,0,0,0,0,0
03af9f8b-508e-452c-9c35-0eeba0e3b3cc,15,4701.5,140.1060822581029,0.01579283207486972,,,0.0729166666666667,0.0625,0.0625,0.125,0.75,2,1,1,0,3.0,17.333333333333332,9.333333333333334,9.333333333333334,8.0,23.0,23.0,8.0,8,22.0,22.0,,-0.6363636363636364,1.1666666666666667,0,1,1.1666666666666665,1,1,0,1,1
